,,,,,,,,,,,,,,,Snip Label,Snip Number,Cluster Number
0.59,-0.83,12.13,12.13,0.97,-0.24,12.17,-8.53,-9.84,17.09,21.49,0.13,4002.27,4654.04,4436.78,0,5,0
0.58,-1.04,12.25,12.25,1.08,-0.41,12.31,-2.97,31.74,30.42,44.07,0.12,4497.96,4975.35,4816.22,0,5,0
0.24,-0.96,12.15,12.15,0.76,-0.55,12.19,-20.92,-4.81,11.14,24.18,0.12,4519.31,4992.87,4835.02,0,5,0
-0.13,-0.92,12.2,12.2,0.44,-0.73,12.23,-13.55,-25.82,19.56,35.12,0.12,4131.05,4764.54,4553.38,0,5,0
-0.43,-1.15,12.29,12.3,0.34,-1.1,12.35,-5.84,-18.87,30.09,35.99,0.14,3585.28,4321.41,4076.04,0,5,0
-0.73,-1,12.23,12.23,0.01,-1.16,12.29,-21.5,-7.29,13.81,26.57,0.16,3167.19,3814.84,3598.96,0,5,0
-0.8,-1.24,12.37,12.38,0.09,-1.39,12.46,-21.64,-9.47,7.26,24.71,0.17,2998.09,3599.57,3399.07,0,5,0
-1.12,-1.67,12.54,12.56,0.09,-1.93,12.7,-2.87,-29.73,-0.75,29.88,0.18,2818.83,3375.81,3190.15,0,5,0
-0.86,-1.93,11.92,11.93,0.45,-1.99,12.1,6.68,-39.1,-8.83,40.63,0.21,2396.68,2921.87,2746.81,0,5,0
-1.04,-1.93,11.97,11.98,0.31,-2.09,12.17,1.88,-19.96,-6.21,20.99,0.22,2451.71,2683.48,2606.23,0,5,0
-0.84,-2.63,12.58,12.6,0.88,-2.53,12.88,6.1,18.72,16.14,25.46,0.15,3959.93,3430.03,3606.67,0,5,0
-0.44,-2.49,12.66,12.68,1.12,-2.18,12.91,32.01,31.48,17.44,48.16,0.13,3902.06,4173.47,4083,0,5,0
-0.44,-2.63,12.7,12.72,1.2,-2.3,12.98,37.86,30.01,-11.21,49.59,0.12,3918.16,4769.3,4485.59,0,5,0
-0.6,-2.69,12.6,12.61,1.11,-2.44,12.9,28.35,36.02,-28.14,53.79,0.11,4622.39,4952.19,4842.25,0,5,0
-0.47,-2.78,12.42,12.44,1.27,-2.44,12.74,24.42,47.8,-8.35,54.32,0.11,5410.51,4720.37,4950.41,0,5,0
-0.11,-2.91,12.14,12.16,1.63,-2.33,12.49,15.41,-4.92,-33.92,37.58,0.11,4459.8,4840.62,4713.67,0,5,0
0.33,-3,11.99,12,2.04,-2.15,12.36,31.82,3.57,-31.15,44.68,0.12,3991.48,4744.26,4493.33,0,5,0
0.33,-3.06,12.08,12.09,2.08,-2.19,12.47,44.07,30.88,-25.5,59.55,0.12,4374.93,5032.05,4813.01,0,5,0
0.39,-3.03,12.12,12.14,2.11,-2.13,12.5,28.85,23.08,-36.68,52.07,0.1,4787.08,5457.62,5234.11,0,5,0
0.58,-3.07,12.17,12.18,2.29,-2.05,12.56,-2.12,-19.12,-45.46,49.37,0.12,3972.71,4688.23,4449.72,0,5,0
0.72,-3.1,12.11,12.13,2.42,-2,12.53,18.5,-6.53,-43.48,47.7,0.12,4790.9,4331.39,4484.56,0,5,0
0.83,-3.09,12.07,12.08,2.5,-1.92,12.48,28.81,5.35,-38.08,48.05,0.12,4660.04,4390.26,4480.19,0,5,0
0.84,-3.04,12.12,12.13,2.48,-1.88,12.52,13.92,-3.19,-36.78,39.45,0.13,4068.09,4402.3,4290.9,0,5,0
0.87,-3.01,12.21,12.22,2.48,-1.83,12.6,0.96,-16.38,-40.47,43.67,0.12,4871.08,4045.13,4320.45,0,5,0
0.88,-2.92,12.29,12.31,2.44,-1.76,12.67,14.52,-20.47,-32.9,41.38,0.12,5258.46,4204.43,4555.78,0,5,0
0.9,-2.82,12.49,12.5,2.39,-1.66,12.83,20.86,-27.42,-29.81,45.56,0.12,4737.88,4608.14,4651.39,0,5,0
0.9,-2.7,12.65,12.66,2.32,-1.57,12.97,2.64,-35.73,-25.12,43.76,0.12,4086.78,4768.73,4541.41,0,5,0
0.82,-2.67,12.81,12.82,2.24,-1.59,13.11,-22.88,-32.95,-18.13,44.03,0.12,3923.25,4572.96,4356.39,0,5,0
0.8,-2.64,12.84,12.85,2.21,-1.57,13.13,-2.24,-1.53,-26.22,26.36,0.12,3812.57,4600.54,4337.88,0,5,0
0.84,-2.75,12.86,12.87,2.31,-1.64,13.18,-2.94,14.53,-21.3,25.96,0.11,4356.33,5127.36,4870.35,0,5,0
0.98,-2.8,12.78,12.79,2.45,-1.6,13.12,8.35,1.11,-18.19,20.04,0.11,4339.87,5023.51,4795.63,0,5,0
1.2,-2.81,12.83,12.84,2.63,-1.48,13.19,19.32,-25.28,-21.61,38.46,0.12,3923.19,4525.94,4325.02,0,5,0
1.34,-2.81,12.86,12.87,2.75,-1.39,13.23,-8.67,-34.33,-22.33,41.86,0.11,4210.67,4782.83,4592.11,0,5,0
1.46,-2.68,12.93,12.94,2.76,-1.22,13.29,2.87,-34.79,-10.27,36.39,0.12,4011.73,4771.77,4518.43,0,5,0
1.52,-2.63,12.86,12.87,2.78,-1.15,13.22,0.06,-19.9,-17.05,26.2,0.12,3939.06,4779.59,4499.42,0,5,0
1.56,-2.78,12.77,12.78,2.9,-1.24,13.17,-3.72,-11.43,-29.76,32.1,0.12,4044.27,4776.1,4532.16,0,5,0
1.73,-3.07,12.65,12.66,3.21,-1.37,13.13,9.62,-20.19,-28.01,35.84,0.12,4130.33,4722.91,4525.38,0,5,0
1.81,-3.29,12.69,12.7,3.4,-1.51,13.23,2.16,-10.23,-20.52,23.03,0.11,4071.13,4853.17,4592.49,0,5,0
1.71,-3.42,12.86,12.87,3.4,-1.67,13.42,32.78,6.28,-29.96,44.85,0.11,4059.76,4882.26,4608.09,0,5,0
1.55,-3.53,12.79,12.8,3.34,-1.86,13.36,54.32,2.04,-24.28,59.54,0.12,4018.06,4690.26,4466.19,0,5,0
1.52,-3.51,12.71,12.72,3.3,-1.86,13.27,49.65,-9.11,-3.3,50.58,0.12,4042.2,4593.3,4409.6,0,5,0
1.57,-3.44,12.35,12.36,3.3,-1.77,12.91,49.79,16.47,-6.19,52.81,0.11,4339.92,5058.57,4819.02,0,5,0
1.75,-3.51,12.72,12.73,3.49,-1.72,13.31,6.79,-5.34,-21.98,23.61,0.12,4186.84,4659.07,4501.66,0,5,0
2.06,-3.45,12.74,12.75,3.7,-1.49,13.36,12.43,-6.54,-33.14,35.99,0.12,4279.4,4826.87,4644.38,0,5,0
2.26,-3.34,12.74,12.75,3.8,-1.29,13.36,42.17,1.32,-28.85,51.11,0.11,4445.34,5225.82,4965.66,0,5,0
2.35,-3.24,12.71,12.72,3.81,-1.15,13.33,32.74,-14.32,-10.25,37.17,0.11,4253.2,4953.51,4720.07,0,5,0
2.35,-3.38,12.77,12.77,3.89,-1.26,13.41,16.91,0.68,6.29,18.05,0.12,4100.79,4695.04,4496.95,0,5,0
2.36,-3.67,12.92,12.93,4.07,-1.49,13.63,34.56,5.8,6.82,35.7,0.12,4013.13,4534.56,4360.75,0,5,0
2.6,-3.61,12.99,13,4.23,-1.3,13.73,46.96,0.85,-1.15,46.98,0.12,4059.87,4650.87,4453.87,0,5,0
2.92,-3.6,13.2,13.21,4.48,-1.1,13.99,28.18,-7.3,-8.91,30.44,0.12,4309.58,5039.51,4796.2,0,5,0
3.09,-3.7,13.72,13.72,4.68,-1.08,14.54,4.59,-16.5,-16.3,23.64,0.1,4751.47,5415.45,5194.12,0,5,0
2.49,-4.32,13.85,13.86,4.56,-1.93,14.72,17.51,-9.99,-27.89,34.42,0.11,4308.73,4934.15,4725.67,0,5,0
1.81,-5.31,13.95,13.97,4.6,-3.14,15.03,39.55,8.42,-16.81,43.8,0.12,4512.34,4429.66,4457.22,0,5,0
1.57,-5.52,13.54,13.56,4.53,-3.45,14.71,63.24,21.16,7.47,67.1,0.12,4933.94,4435.33,4601.53,0,5,0
1.14,-5.51,13.81,13.83,4.18,-3.69,14.91,91.93,13.09,17.21,94.44,0.12,4280.69,4871.44,4674.52,0,5,0
0.88,-5.59,14.27,14.29,4.01,-3.91,15.35,89.75,1.19,25.61,93.34,0.12,4193,4934.58,4687.39,0,5,0
0.91,-5.25,14.61,14.63,3.84,-3.61,15.55,71.46,20.63,36.67,82.92,0.12,4415.61,5015.9,4815.8,0,5,0
0.97,-5.67,15.11,15.13,4.14,-3.91,16.17,60.85,33.14,36.04,78.1,0.11,4484.41,5049.04,4860.83,0,5,2
0.91,-5.9,15.44,15.46,4.22,-4.14,16.55,63.86,9.65,19.26,67.4,0.11,4197.32,4881.24,4653.27,0,5,2
1.05,-5.68,15.8,15.82,4.21,-3.87,16.82,52.4,-13.41,9.87,54.98,0.12,3966.49,4519.71,4335.3,0,5,2
1.14,-5.56,16.16,16.18,4.21,-3.72,17.13,19.76,-6.85,22.77,30.92,0.12,4369.01,4183.37,4245.25,0,5,2
0.96,-5.25,16.34,16.36,3.88,-3.58,17.19,16.66,-8.15,28.6,34.09,0.11,4895.09,4162.18,4406.48,0,5,2
0.89,-4.79,16.64,16.66,3.56,-3.25,17.34,38.55,-24.35,16.73,48.56,0.11,4840.58,4455.4,4583.8,0,5,2
0.97,-4.45,16.61,16.63,3.42,-2.93,17.23,35.69,-28.2,2.71,45.57,0.11,4007.68,4732.09,4490.62,0,5,2
0.94,-4.23,16.61,16.63,3.26,-2.77,17.17,42.1,-22.32,4.01,47.82,0.11,4654.74,4288.05,4410.28,0,5,2
0.77,-3.87,16.46,16.48,2.91,-2.58,16.93,28.88,-11.55,5.77,31.63,0.11,4484.66,4532.04,4516.25,0,5,2
0.71,-3.74,16.31,16.32,2.78,-2.51,16.75,20.21,-13.2,0.54,24.14,0.11,4348.44,4812.96,4658.12,0,5,2
0.58,-3.48,16.27,16.28,2.52,-2.38,16.65,35.39,-31.97,-8.41,48.43,0.11,5093.13,4314.58,4574.1,0,5,2
0.5,-3.31,16.06,16.08,2.36,-2.29,16.41,23.54,-34.69,-5.31,42.26,0.12,3969.28,4214.81,4132.96,0,5,2
0.66,-3.24,15.9,15.91,2.45,-2.15,16.24,46.27,-22.21,2.44,51.38,0.12,3585.88,4231.58,4016.35,0,5,2
0.72,-3.4,15.8,15.81,2.59,-2.23,16.18,58.66,-18.64,-18.83,64.37,0.11,3834.58,4540.14,4304.95,0,5,2
0.74,-3.47,15.78,15.79,2.65,-2.28,16.18,46.06,-21.54,-50.08,71.37,0.11,4025.25,4827.9,4560.35,0,5,2
0.97,-3.65,15.92,15.93,2.94,-2.29,16.37,49.04,-0.08,-25.53,55.28,0.12,3715.89,4396.92,4169.91,0,5,2
1.06,-3.73,16.1,16.11,3.07,-2.3,16.56,37.42,5.68,-32.04,49.59,0.11,3906.64,4357.76,4207.39,0,5,2
1.08,-3.85,16.23,16.24,3.15,-2.38,16.71,36.18,4.83,-32.55,48.91,0.11,3916.53,4481.98,4293.49,0,5,2
1.19,-3.94,16.37,16.38,3.29,-2.39,16.88,41.18,-5.51,-33.55,53.4,0.11,3780,4534.84,4283.23,0,5,2
1.28,-4.05,16.18,16.19,3.43,-2.43,16.73,38.41,-24.33,-50.08,67.65,0.11,3802.88,4412.37,4209.2,0,5,2
1.13,-4.13,16.24,16.26,3.35,-2.58,16.8,48.28,-10.18,-24.34,55.01,0.12,3438.78,4148.05,3911.63,0,5,2
2.94,6.92,-28.22,-27.16,-4.01,9.96,29.2,-186.91,157.03,11.5,244.39,6.98,272.27,342.68,319.21,0,6,2
1.21,4.93,-25.95,-25.24,-3.36,7.12,26.44,-188.27,176.29,7.28,258.03,7.42,278.57,377.76,344.69,0,6,2
-0.03,3.67,-24.93,-24.46,-3.03,5.27,25.2,-175.03,161.45,-13.37,238.5,8.48,286.6,381.58,349.92,0,6,2
-1.28,8.82,-18.78,-18.11,-7.98,6.38,20.79,-157.92,136.3,-25.66,210.17,10.64,288.87,361.61,337.36,0,6,2
-5.03,7.84,-7.05,-6.95,-9.31,1.26,11.69,-148.92,134.26,-15.27,201.09,12.66,286.61,346.86,326.77,0,6,2
-4.92,6.3,-7.79,-7.78,-7.98,0.57,11.16,-142.51,152,-9.35,208.56,12.05,292.63,354.28,333.73,0,6,2
-10.84,6.52,-10.35,-10.94,-11.54,-3.8,16.35,-139.87,160.11,-15.26,213.15,12.18,274.65,349.77,324.73,0,6,2
-8.78,11.31,-9.99,-10,-14.3,0.55,17.45,-134.39,155.21,-17.38,206.05,12.08,273.18,348.89,323.65,0,6,2
-10.44,10.69,-13,-13.21,-14.73,-0.77,19.8,-127.12,147.15,-10.68,194.75,11.75,269.07,342.17,317.8,0,6,2
-11.6,13.23,-16.76,-16.87,-17.48,0.21,24.3,-127.39,141.69,-4.8,190.6,10.89,274.77,348.33,323.81,0,6,2
-6.04,10.45,-11.52,-11.29,-12.02,2.49,16.68,-137.88,140.34,-6.15,196.84,9.9,310.07,380.7,357.16,0,6,2
-5.92,6.12,-9.85,-9.95,-8.4,-0.08,13.02,-139.86,149.73,1.92,204.9,11.12,325.01,384.81,364.88,0,6,2
-5.4,3.54,-6.91,-7.16,-5.99,-1.5,9.45,-139.66,162.36,-3.69,214.19,11.67,333.48,385.85,368.39,0,6,2
-4.98,4.12,-6.64,-6.81,-6.23,-0.86,9.27,-141.97,167.61,-2.48,219.67,12.13,331.75,388.61,369.66,0,6,2
-5.79,5.46,-8.18,-8.32,-7.79,-0.57,11.41,-135.76,168.2,-5.09,216.21,11.81,318.58,397.87,371.44,0,6,2
-7.49,6.53,-5.56,-5.83,-9.64,-1.68,11.39,-128.06,167.8,-17.03,211.77,10.87,310.42,410.42,377.09,0,6,2
-5.13,5.04,-5.8,-5.93,-7.07,-0.58,9.24,-136.62,164.72,-25.35,215.5,10.69,321.92,415.74,384.46,0,6,2
-7.6,4.95,-7.01,-7.39,-8.4,-2.47,11.46,-131.55,158.4,-29.42,207.99,11.48,313.12,408.76,376.88,0,6,2
-7.39,3.03,-17.3,-17.72,-6.7,-2.06,19.06,-137.69,177.18,-42.06,228.29,10.8,302.56,406.42,371.8,0,6,2
-4.82,0.71,-17.55,-17.86,-3.34,-1.25,18.21,-152.98,199.11,-26.83,252.53,10.54,297.58,412.34,374.09,0,6,2
-2.63,-2.17,-19.74,-20.02,0.28,-0.82,20.03,-158.6,210.39,-13.92,263.84,10.96,278.53,415,369.51,0,6,2
-5.87,0.11,-18,-18.46,-3.44,-2.38,18.93,-145.36,211.96,-23.73,258.11,10.65,236.92,386.18,336.43,0,6,2
-12.44,1.55,-34.56,-35.48,-8.38,-4.77,36.77,-129.06,211.32,-13.98,248.01,8.64,202.67,315.01,277.56,0,6,2
-12.21,0.9,-35.05,-35.99,-7.71,-4.9,37.13,-129.31,215.01,-1.54,250.9,7.62,208.69,324.45,285.86,0,6,2
-12.61,0.89,-36.05,-37.02,-7.93,-5.09,38.21,-134.86,223.57,0.56,261.1,7.39,260.14,336.92,311.33,0,6,2
-9.78,2,-37.69,-38.26,-7.23,-1.95,38.99,-129.53,228.65,-6.01,262.86,7.1,333.51,382.44,366.13,0,6,2
-9.91,4.99,-34.42,-34.81,-9.76,-0.78,36.16,-157.68,246.4,-10.65,292.73,6.7,379.02,439.49,419.33,0,6,2
-5.46,-7.49,-39.52,-40.32,3.04,-3.56,40.59,-211.39,274.36,-9.71,346.49,6.56,372.29,464.75,433.93,0,6,2
-19.6,13.4,-35.9,-36.69,-22.19,-3.71,43.04,-141.18,251.14,-16.39,288.57,6.35,356.73,481.03,439.6,0,6,2
-22.06,12.15,-36.75,-37.89,-22.57,-6.31,44.55,-100.33,201.52,-28.74,226.94,5.02,349.16,461.78,424.24,0,6,2
-22.14,11.71,-36.02,-37.21,-22.25,-6.72,43.87,-96.38,187.77,-21.42,212.14,4.74,289.21,419.52,376.08,0,6,2
-19.23,11.31,-39.54,-40.42,-20.27,-4.11,45.4,-107.8,199.79,-18.56,227.78,4.47,333.41,450.29,411.33,0,6,2
-23.69,15.57,-40.19,-41.22,-26.31,-5.25,49.18,-111.01,211.42,-29.84,240.65,3.92,438.39,520.43,493.08,0,6,2
-28.64,11.04,-40.92,-42.81,-25.42,-11.75,51.15,-106.93,211.15,-36.36,239.46,4.05,445.96,513.75,491.15,0,6,2
-19.66,4.81,-45.1,-46.46,-15.18,-7.42,49.43,-130.95,192.21,-33.3,234.96,3.9,585.97,499.93,528.61,0,6,2
-23.63,7.14,-42.19,-43.82,-19.35,-9.72,48.88,-74.84,203.97,-19.48,218.14,4.64,595.48,511.68,539.61,0,6,2
-35.02,-8.79,-35.28,-39.37,-12.79,-28.91,50.49,-51.47,226.95,2.05,232.73,5.2,614.46,560.87,578.73,0,6,2
-35.83,3.95,-27.79,-31.08,-23.71,-23.31,45.51,-58.65,229.23,20.42,237.49,5.21,723.83,639.15,667.38,0,6,2
-34.3,5.2,-24.73,-27.78,-23.86,-21.77,42.6,-64.37,184.03,15.52,195.58,4.95,758.84,709.48,725.93,0,6,2
-34.61,-12.04,-25.84,-30.2,-9.89,-31.63,44.84,-83.08,105.1,-17.88,135.15,4.75,524.13,724.55,657.74,0,6,2
-28.74,-9.61,-26.37,-29.93,-8.53,-25.41,40.18,-92.22,118.81,-7.38,150.58,4.43,554.69,689.42,644.51,0,6,2
-35.94,-11.17,-21.78,-26.25,-11.36,-32.75,43.48,-33.65,133.79,21.44,139.61,4.59,701.95,595.67,631.1,0,6,2
-30.34,-8.82,-22.3,-26,-10.09,-26.79,38.68,-59.73,154.2,11.08,165.74,4.62,567.77,519.88,535.85,0,6,2
-20.21,3.23,-33.31,-34.94,-14.2,-10.29,39.09,-126.28,163.86,-19.79,207.82,6.01,312.21,454.3,406.94,0,6,2
-9.55,9.25,-25.4,-25.51,-13.05,0.76,28.67,-123.29,152.97,-27.16,198.34,8.69,278.85,374.34,342.51,0,6,2
-13.22,4.54,-30.51,-31.32,-11.28,-4.22,33.56,-102.56,157.07,-20.72,188.73,8.56,375.07,333.43,347.31,0,6,2
-12.56,6.31,-34.81,-35.39,-12.35,-2.12,37.54,-86.34,165.47,-4.47,186.7,7.41,292.53,330.13,317.6,0,6,2
-9.69,14.28,-20.38,-20.19,-17.25,2.85,26.71,-101.26,157.13,-7.43,187.08,8.26,235.85,351.5,312.95,0,6,2
-10.13,15.84,-18.1,-17.85,-18.78,3.08,26.09,-125.22,153.19,-15.84,198.49,8.77,228.84,368.56,321.99,0,6,2
-8.75,25.07,-14.27,-13.22,-25.58,8.94,30.15,-129.48,146.23,-29.13,197.47,8.64,254.22,380.46,338.38,0,6,2
-6.03,16.92,-8.69,-8,-17.33,5.81,19.95,-113.07,122.81,-51.7,174.76,9.66,293.77,399.02,363.94,0,6,2
-6.63,7.6,-3.71,-3.82,-10.03,-0.61,10.75,-111.15,131.06,-49.88,178.94,10.86,295.92,403.56,367.68,0,6,2
-5.21,5.85,-6.06,-6.13,-7.78,-0.13,9.9,-116.61,148.19,-28.44,190.71,11.26,302.71,395.69,364.69,0,6,2
-3.58,7.89,-8.45,-8.18,-8.52,2.65,12.1,-122.58,154.14,-21.83,198.14,11.42,312.63,400.53,371.23,0,6,2
-0.9,6.84,-1.02,-0.6,-6.12,3.28,6.97,-131.98,150.79,-29.44,202.54,11.64,321.9,409.92,380.58,0,6,2
-2.58,6.58,-0.35,-0.14,-6.87,1.68,7.07,-137.66,146.01,-33.38,203.43,11.74,319.33,413.23,381.93,0,6,2
-5.71,11.67,-3.68,-3.39,-12.84,2.44,13.5,-128.27,141.46,-23.62,192.41,11.31,297.05,409.43,371.97,0,6,2
-7.93,19.22,-12.86,-12.17,-20.3,6.11,24.45,-129.15,136.19,-10.64,187.99,10.08,281.42,378.34,346.03,0,6,2
-9.53,21.53,-16.27,-15.55,-23.12,6.56,28.62,-122.41,130.24,-7.68,178.9,9.06,277.57,373.54,341.55,0,6,2
-8.97,14.64,-16.44,-16.17,-17.15,3.14,23.78,-118.41,132.55,-2.3,177.76,9.25,284.67,379.91,348.16,0,6,2
-9.05,10.01,-13.69,-13.79,-13.38,0.08,19.22,-118.07,144.75,8.71,187,9.84,288.6,387.31,354.41,0,6,2
-10.9,10.75,-12.62,-12.88,-15.05,-1.13,19.84,-117.83,153.95,12.89,194.29,9.91,282.74,393.42,356.53,0,6,2
-11.72,12.1,-13.88,-14.11,-16.62,-0.87,21.82,-119.49,143.87,-1.11,187.02,9.94,279.05,394.21,355.82,0,6,2
-11.52,11.58,-13.56,-13.82,-16.08,-1.05,21.23,-121.32,140.93,8.09,186.14,9.61,277.2,393.13,354.49,0,6,2
-8.45,9.35,-10.16,-10.28,-12.51,-0.25,16.19,-132.13,151.55,14.06,201.56,10.66,291.94,399,363.32,0,6,2
-8.51,12.22,-8.72,-8.65,-14.89,1.14,17.26,-131.86,155.84,8.48,204.31,11.09,290.5,394.99,360.16,0,6,2
-8.42,15.33,-9.61,-9.29,-17.39,3.09,19.95,-123.49,150.68,-1.18,194.82,10.6,282.03,380.05,347.37,0,6,2
-7.88,15.57,-12.76,-12.34,-17.28,4.08,21.62,-122.87,147.38,-4.49,191.93,10.49,290.62,367.85,342.11,0,6,2
-5.89,12.21,-8.65,-8.3,-13.38,3.25,16.08,-123.82,147.17,-2.33,192.34,10.9,290.83,364.48,339.93,0,6,2
-4.13,7.92,-5.42,-5.22,-8.86,1.83,10.45,-123.3,146.69,5.49,191.71,11.08,299.45,373,348.49,0,6,2
-4.84,3.73,-6.94,-7.12,-5.83,-0.92,9.25,-129.47,149.31,2.82,197.64,11.21,291.88,382.95,352.59,0,6,2
-6.28,6.17,-9.97,-10.1,-8.65,-0.32,13.3,-131.61,152.34,-9.05,201.52,11.29,282.89,390.45,354.6,0,6,2
-4.91,4.24,-8.7,-8.83,-6.28,-0.46,10.85,-127.11,151.98,-16.73,198.84,11.42,285.27,389.99,355.08,0,6,2
-4.64,6.44,-8.29,-8.23,-7.94,0.95,11.48,-124.44,147.8,-12.73,193.63,11.58,292.62,382.34,352.43,0,6,2
-6.32,8.92,-6.79,-6.74,-10.94,0.8,12.87,-119.37,144.06,-14.94,187.69,11.1,298.41,393.97,362.12,0,6,2
-6.46,9.34,-6.76,-6.7,-11.35,0.92,13.21,-124.57,136.32,-15.57,185.32,10.96,297.45,399.64,365.58,0,6,2
-5.12,8.77,-8.43,-8.25,-10.12,1.9,13.2,-118.88,128.15,-7.87,174.98,11.37,274.02,386.87,349.25,0,6,2
-8.41,5.72,-7.21,-7.62,-9.5,-2.66,12.46,-115.68,131.59,-6.58,175.33,11.22,268.21,382.47,344.38,0,6,2
-5.81,4.6,-4.59,-4.83,-7.1,-1.52,8.72,-125.96,143.1,-13.65,191.13,10.79,288.12,393.26,358.21,0,6,2
-6.11,6.22,-3.39,-3.55,-8.6,-1,9.36,-132.17,144.21,-10.95,195.92,11.71,281.52,386.1,351.24,0,6,2
-8.4,8.69,-6.58,-6.78,-11.93,-1.05,13.76,-122.61,155.77,-25.06,199.81,11.13,272.88,373.71,340.1,0,6,2
-8.99,11.79,-9.14,-9.14,-14.81,0.56,17.42,-125.72,147.36,-13.96,194.2,10.83,263.15,369.66,334.16,0,6,2
-9.47,14,-10.46,-10.34,-16.9,1.6,19.88,-130.66,137.41,-1.73,189.62,10.73,253.02,365.82,328.22,0,6,2
-11.09,13.99,-12.04,-12.08,-17.82,0.48,21.53,-127.53,135.44,-1.05,186.04,10.73,245.78,360.5,322.26,0,6,2
-11.71,15.43,-13.73,-13.71,-19.36,1.01,23.74,-121,134.13,-6.8,180.77,10.73,251.48,361.79,325.02,0,6,2
-8.46,14.86,-10.14,-9.85,-17.02,2.87,19.87,-124.26,125.67,-14.77,177.35,10.33,281.06,376.67,344.8,0,6,2
-3.93,6.05,-7.28,-7.18,-7.21,1.18,10.25,-126.56,125.82,-17.05,179.27,10.82,306.98,393.16,364.43,0,6,2
-1.23,2.99,-3.6,-3.48,-3.16,1.16,4.84,-130.86,138.47,-17.51,191.33,11.61,319.28,391.85,367.66,0,6,2
-2.63,4.37,-2.97,-2.9,-5.09,0.73,5.9,-128.89,149.47,-15.07,197.94,11.76,316.24,386.2,362.88,0,6,2
-4.52,3.26,-3.76,-3.97,-5.26,-1.34,6.72,-123.02,153.7,-11.55,197.21,11.49,303.21,382.33,355.96,0,6,2
-5.89,4.21,-6.4,-6.66,-6.82,-1.57,9.66,-121.15,156.47,-9.18,198.1,11.57,290.88,377.04,348.32,0,6,2
-8.25,5.45,-7.92,-8.33,-9.19,-2.59,12.67,-115.89,155.97,-2.75,194.33,11.59,291.9,382.96,352.6,0,6,2
-5.35,4.49,-3.91,-4.11,-6.74,-1.29,8,-127.69,157.7,-4.56,202.96,11.96,301.79,393.2,362.73,0,6,2
-4.4,3.98,-3.44,-3.59,-5.78,-0.87,6.86,-132.97,164.7,-5.3,211.74,12.05,310.04,401.61,371.09,0,6,2
-4.82,3.24,-3.83,-4.07,-5.42,-1.59,6.96,-131.76,170.57,-6.89,215.64,12.02,310.44,403,372.15,0,6,2
-6.26,4.66,-4.65,-4.93,-7.41,-1.84,9.09,-130.78,174.05,-9.84,217.93,12.07,305.47,394.4,364.76,0,6,2
-5.15,4.32,-7.25,-7.42,-6.49,-0.8,9.89,-130.11,179.47,-8.7,221.84,12.09,300.15,377.92,352,0,6,2
-6.39,6.95,-10.9,-10.97,-9.35,0.17,14.42,-132.93,174.77,-7.35,219.7,12.64,286.26,365.28,338.94,0,6,2
-7.93,9.58,-15.29,-15.29,-12.4,0.98,19.71,-128.91,164.41,2.81,208.94,12.19,256.77,356.56,323.3,0,6,2
-10.45,12.21,-18.33,-18.38,-16,0.82,24.38,-125.76,161.67,11.18,205.13,11.13,238.29,348.1,311.49,0,6,2
-11.75,11.79,-23.98,-24.16,-16.4,0.27,29.2,-127.36,167.51,18.46,211.24,9.96,240.82,348.3,312.47,0,6,2
-12.33,8.84,-25.49,-25.94,-14.31,-1.68,29.67,-132.18,172.31,28.22,218.99,9.56,248.26,362.19,324.21,0,6,2
-10.38,10.04,-16.93,-17.14,-14.17,-0.53,22.25,-136.59,166.44,35.42,218.21,10.82,240.05,377.89,331.94,0,6,2
-7.36,7.85,-10.09,-10.2,-10.65,-0.22,14.75,-132.02,148.96,40.81,203.18,11.3,256.83,384.55,341.98,0,6,2
-6.83,6.07,-12.42,-12.59,-8.89,-0.48,15.42,-128.99,147.39,34.12,198.81,10.92,264.01,383.47,343.65,0,6,2
-4.76,5.31,-13.74,-13.74,-7.08,0.94,15.48,-135.49,158.37,20.16,209.39,10.44,272,384.14,346.76,0,6,2
-6.53,6.02,-17,-17.1,-8.67,0.32,19.18,-142.61,163.37,4.61,216.91,10.57,283.42,389.12,353.89,0,6,2
-2.31,2.07,-8.89,-8.9,-3.02,0.46,9.41,-139.31,155.82,-7.2,209.14,11.18,294.71,393.23,360.39,0,6,2
-2.22,2.87,-8.39,-8.35,-3.63,0.92,9.14,-135.77,158.08,-6.9,208.5,11.27,317.98,392.75,367.82,0,6,2
-1.33,2.53,-10.81,-10.67,-2.84,1.77,11.18,-143.46,166.99,-1.38,220.16,10.88,318.32,399.34,372.33,0,6,2
-5.01,5.23,-15.38,-15.39,-7.16,0.91,17,-148.83,167.88,11.73,224.65,10.11,313.37,409.52,377.47,0,6,2
-4.44,4.82,-11.86,-11.87,-6.5,0.68,13.55,-151.12,163.05,17.13,222.97,10.45,303.4,398.47,366.78,0,6,2
-5.24,3.97,-11.27,-11.43,-6.25,-0.53,13.04,-154.41,163.36,13.79,225.21,11.3,282.3,368.54,339.79,0,6,2
-4.24,4.96,-20.09,-20,-6.5,2,21.12,-157.5,171.27,12.85,233.04,10.8,256.48,351.56,319.86,0,6,2
-4.27,4.78,-18.77,-18.71,-6.36,1.7,19.83,-149.83,166.19,-0.24,223.76,10.93,256.87,358.16,324.39,0,6,2
