,,,,,,,,,,,,,,,Snip Label,Snip Number,Cluster Index
9.28,-18.1,20.47,20.98,19.29,-4.54,28.86,8.67,22.77,12.87,27.56,0.08,2461.79,2571.16,2534.7,0,0,4
8.99,-17.88,20.33,20.84,18.93,-4.6,28.53,-11.02,-0.48,16.44,19.8,0.08,2321.1,2601.52,2508.05,0,0,4
8.93,-17.65,20.25,20.75,18.72,-4.49,28.31,-30.11,-28.21,31.82,52.1,0.08,2706.86,2395.27,2499.13,0,0,4
8.79,-17.73,20.13,20.65,18.68,-4.66,28.23,-18.91,-42.31,22.49,51.51,0.07,3120.52,2521.49,2721.17,0,0,4
8.62,-17.94,20.2,20.74,18.71,-4.91,28.36,-15.54,-27.93,33.91,46.6,0.07,2348.23,2569.52,2495.76,0,0,4
8.47,-17.9,20.36,20.91,18.57,-4.98,28.4,-22.12,-9.39,30.66,38.96,0.08,2433.32,2850.27,2711.29,0,0,4
8.11,-17.77,20.42,20.98,18.22,-5.13,28.26,-25.57,-29.42,20.66,44.11,0.09,2682.35,2624.66,2643.89,0,0,4
7.85,-17.77,20.38,20.95,18.04,-5.32,28.16,-15.21,-35.53,32.89,50.75,0.09,2705.24,2339.49,2461.4,0,0,4
7.72,-17.99,20.3,20.9,18.1,-5.57,28.2,-10.94,-15.43,47.44,51.07,0.09,2617.99,2374.4,2455.6,0,0,4
7.52,-18.24,20.48,21.1,18.13,-5.88,28.44,-44.35,-41.26,13.52,62.07,0.1,2584.33,2237.22,2352.92,0,0,4
7.67,-18.75,20.59,21.24,18.59,-6.12,28.88,-60.08,-3.27,46.07,75.78,0.08,2863.5,2675.52,2738.18,0,0,4
7.95,-19.09,20.9,21.56,19.03,-6.14,29.4,-57.66,4.73,59.01,82.64,0.07,2857.22,3052.35,2987.3,0,0,4
8.16,-19.57,20.92,21.59,19.52,-6.33,29.78,-29.35,-18.43,40.03,52.94,0.07,2744.35,2845.55,2811.82,0,0,4
8.61,-19.76,21.1,21.76,19.97,-6.14,30.16,-21.66,-27.73,27.69,44.77,0.08,2745.06,2563.18,2623.81,0,0,4
9.19,-20.02,21.37,22.01,20.57,-5.9,30.69,-52.98,-8.69,33.31,63.18,0.08,2888.57,2664.92,2739.47,0,0,4
9.93,-19.75,21.77,22.34,20.91,-5.16,31.03,-65.33,-1.41,17.65,67.69,0.08,3004.58,2732.72,2823.34,0,0,4
10.55,-19.51,22.09,22.6,21.18,-4.52,31.3,-28.85,-1.32,10.67,30.79,0.09,2797.84,2513.32,2608.16,0,0,4
10.79,-18.91,22.27,22.72,20.93,-3.91,31.14,-47.51,4.36,35.29,59.34,0.08,2712.46,2851.12,2804.9,0,0,4
11,-18.13,22.28,22.67,20.54,-3.2,30.76,-36.1,24.44,30.27,53.08,0.08,2930.38,2962.55,2951.82,0,0,4
11.23,-17.32,22.18,22.5,20.14,-2.48,30.3,-24.56,28.84,19.95,42.81,0.08,3038.56,2712.98,2821.51,0,0,4
