,,,,,,,,,,,,,,,Snip Label,Snip Number,Cluster Index
5.3,-2.72,52.31,52.59,-0.24,2.36,52.64,-20.47,-0.02,-3.04,20.69,0.41,1915.92,2619.02,2384.65,0,3,4
5.31,-2.72,52.31,52.6,-0.25,2.37,52.65,-27.81,-12.16,-8.92,31.63,0.41,1923.65,2621.6,2388.95,0,3,4
5.2,-2.63,52.36,52.64,-0.26,2.23,52.68,-35.18,-27.82,-6.35,45.3,0.43,1848.75,2457.37,2254.49,0,3,4
5.05,-2.72,52.31,52.58,-0.11,2.14,52.62,-25.71,-18.94,3.5,32.12,0.44,1719.14,2292.5,2101.38,0,3,4
4.89,-2.71,52.24,52.5,-0.05,2.01,52.54,-14.2,0.2,1.27,14.25,0.4,1818.03,2491.84,2267.24,0,3,4
4.86,-2.73,52.12,52.38,-0.01,2,52.42,-25.44,6.1,-1.72,26.22,0.36,2074,2785.6,2548.4,0,3,4
4.88,-2.58,52.08,52.33,-0.16,1.95,52.37,-19.72,1.34,5.2,20.44,0.37,2062.87,2793.22,2549.77,0,3,4
4.84,-2.44,51.98,52.22,-0.25,1.85,52.26,-19.51,-2.24,-4.3,20.1,0.38,1916.75,2697.91,2437.52,0,3,4
4.88,-2.44,52.05,52.3,-0.28,1.88,52.34,-19.82,-0.78,-7.13,21.08,0.36,2020.43,2881.62,2594.56,0,3,4
4.93,-2.32,52.21,52.46,-0.4,1.85,52.49,-14.43,3.14,5.71,15.84,0.35,2215.25,3094.78,2801.61,0,3,4
4.87,-2.22,52.3,52.54,-0.47,1.75,52.58,-13.55,6.45,3.14,15.33,0.38,1983.2,2748.84,2493.63,0,3,4
4.84,-2.27,52.23,52.48,-0.41,1.75,52.51,-5.6,8.92,1.67,10.67,0.37,2174.11,2904.21,2660.84,0,3,4
4.97,-2.34,52.19,52.44,-0.41,1.9,52.48,-9.41,-0.57,3.81,10.17,0.36,2120.06,2954.87,2676.6,0,3,4
5.02,-2.42,52.11,52.37,-0.37,1.99,52.4,-7.9,3.04,12.59,15.17,0.35,2131.3,3065.58,2754.15,0,3,4
5.02,-2.24,52,52.25,-0.52,1.91,52.29,1.13,10.45,17.19,20.14,0.33,2253.54,3087.61,2809.58,0,3,4
4.93,-2.25,51.89,52.13,-0.46,1.84,52.17,7.06,4.55,9.86,12.95,0.35,2237.99,2910.19,2686.12,0,3,4
4.9,-2.27,51.77,52.02,-0.43,1.84,52.05,3.45,-8.14,-0.23,8.85,0.37,1996.66,2801.3,2533.09,0,3,4
4.8,-2.33,51.87,52.11,-0.34,1.77,52.14,0,-14.85,3.19,15.19,0.35,2247.4,3009.34,2755.36,0,3,4
4.54,-2.25,51.89,52.12,-0.28,1.51,52.14,7.53,-1.78,12.7,14.88,0.35,2148.23,2980.72,2703.22,0,3,4
4.42,-2.28,52.04,52.26,-0.19,1.4,52.28,10.67,3.61,11.9,16.38,0.36,2096.34,2975.95,2682.75,0,3,4
4.31,-2.37,52.14,52.35,-0.06,1.35,52.37,9.29,4.47,9.08,13.73,0.36,2150.23,3004.11,2719.48,0,3,4
4.41,-2.49,52.01,52.23,-0.01,1.5,52.25,8.96,9.22,12.33,17.81,0.36,2146.98,2968.17,2694.44,0,3,4
4.45,-2.51,51.99,52.21,-0.01,1.55,52.24,5.8,4.52,10.22,12.59,0.37,2126.66,2963.43,2684.5,0,3,4
4.4,-2.54,51.94,52.16,0.05,1.52,52.18,0.25,1.59,12.36,12.47,0.36,2104.41,2969.83,2681.36,0,3,4
4.56,-2.46,51.87,52.1,-0.11,1.63,52.12,1.24,0.4,0.79,1.53,0.36,2172.9,2972.59,2706.03,0,3,4
4.69,-2.45,51.9,52.14,-0.17,1.74,52.17,22.77,8.4,-3.28,24.49,0.36,2137.63,2941.23,2673.36,0,3,4
4.65,-2.46,51.95,52.19,-0.15,1.71,52.22,28.65,8.93,3.78,30.24,0.36,2088.16,2960.7,2669.85,0,3,4
4.66,-2.4,51.96,52.2,-0.2,1.68,52.23,8.63,-3.5,6.46,11.33,0.37,2117,2993,2701,0,3,4
4.73,-2.38,52.1,52.34,-0.26,1.72,52.37,22.88,0.93,-3.77,23.21,0.35,2036.44,2821.41,2559.75,0,3,4
4.53,-2.3,52.14,52.36,-0.23,1.51,52.39,31.54,17.48,5.73,36.51,0.36,2042.51,2878.82,2600.05,0,3,4
4.5,-2.29,52.09,52.31,-0.22,1.48,52.33,19.99,11.79,5.81,23.92,0.43,1797.64,2462.52,2240.89,0,3,4
4.52,-2.32,52.12,52.34,-0.2,1.51,52.36,9.19,4.28,4.14,10.95,0.46,1635.04,2234.35,2034.58,0,3,4
4.59,-2.13,52.1,52.32,-0.4,1.48,52.34,16.24,5.05,1.15,17.05,0.43,1725.99,2392.69,2170.45,0,3,4
4.55,-2.05,52.07,52.29,-0.46,1.41,52.31,26.88,6.13,-4.7,27.97,0.4,1906.55,2620.51,2382.52,0,3,4
4.6,-2.11,52.09,52.31,-0.43,1.48,52.34,8.41,2.5,-1.96,8.99,0.38,1943.35,2763.17,2489.9,0,3,4
4.61,-2.13,52.09,52.32,-0.41,1.5,52.34,15.9,4.49,3.25,16.84,0.38,2012.78,2820.92,2551.54,0,3,4
4.61,-2.12,52.01,52.23,-0.42,1.5,52.25,25.26,2.84,4.9,25.89,0.38,2003.94,2752.38,2502.9,0,3,4
4.6,-1.97,52.02,52.24,-0.54,1.42,52.26,20.93,-0.89,5.52,21.66,0.39,1957.39,2675.39,2436.06,0,3,4
4.57,-2.01,52.08,52.3,-0.5,1.41,52.32,13.15,0.71,6.37,14.63,0.41,1823.94,2530.21,2294.79,0,3,4
4.64,-2.04,52.12,52.35,-0.5,1.47,52.37,15.96,7.11,5.44,18.3,0.43,1670.22,2356.11,2127.48,0,3,4
4.66,-2.05,52.05,52.27,-0.5,1.51,52.3,18.56,5.3,1.98,19.41,0.43,1825.02,2530.15,2295.11,0,3,4
4.56,-2.15,51.95,52.17,-0.37,1.48,52.19,12.71,15.26,5.28,20.55,0.41,1848.64,2540.01,2309.55,0,3,4
4.64,-2.22,51.95,52.18,-0.34,1.58,52.21,16.6,9.26,8.67,20.89,0.39,2020.96,2725.7,2490.79,0,3,4
4.68,-2.24,52.07,52.3,-0.35,1.62,52.33,23.24,-1.77,2.36,23.42,0.36,2212.89,2989.13,2730.38,0,3,4
4.64,-2.37,52.08,52.31,-0.21,1.64,52.34,18.68,-6.09,-0.29,19.65,0.35,2250.98,3087.75,2808.82,0,3,4
4.58,-2.41,52.07,52.3,-0.15,1.61,52.33,6.6,-6.2,12.34,15.31,0.36,2187.49,3006.27,2733.35,0,3,4
4.58,-2.35,52.1,52.33,-0.21,1.58,52.35,14.72,-9.46,15.08,23.1,0.35,2278.81,3077.22,2811.08,0,3,4
4.6,-2.29,52.1,52.33,-0.27,1.57,52.35,21.95,0.27,12.41,25.22,0.35,2173.29,3041.89,2752.36,0,3,0
4.74,-2.23,52.24,52.48,-0.39,1.66,52.5,21.22,6.1,16.35,27.47,0.35,2235.59,3058.56,2784.24,0,3,0
4.97,-2.23,52.37,52.62,-0.5,1.84,52.65,15.79,11.69,13.56,23.87,0.34,2291.47,3159.57,2870.2,0,3,0
5.02,-2.21,52.28,52.53,-0.54,1.88,52.57,7.23,6.5,9.27,13.43,0.33,2260.41,3216.16,2897.58,0,3,0
4.89,-2.08,52.19,52.43,-0.59,1.71,52.46,0.17,-12.53,14.95,19.51,0.34,2264.57,3126.31,2839.07,0,3,0
4.94,-1.99,52.21,52.45,-0.69,1.72,52.48,9.6,-1.52,8.79,13.11,0.35,2293.25,3041.23,2791.9,0,3,0
4.83,-1.93,52.35,52.58,-0.69,1.58,52.61,-6.82,14.12,12.36,19.97,0.35,2249.95,3138.43,2842.27,0,3,0
4.79,-1.98,52.27,52.5,-0.63,1.57,52.53,-2.34,16.17,6.69,17.66,0.34,2167.88,3061.13,2763.38,0,3,0
4.67,-1.96,52.22,52.44,-0.59,1.47,52.46,-1.21,15.18,-2.54,15.44,0.34,2172.43,3015.99,2734.8,0,3,0
4.68,-2.08,52.12,52.35,-0.49,1.54,52.37,-2.6,15.82,-2.29,16.19,0.34,2250.37,3095.23,2813.61,0,3,0
4.63,-2.18,52.12,52.35,-0.37,1.55,52.37,12.74,14.67,6.51,20.49,0.34,2274.05,3118.96,2837.33,0,3,0
4.64,-2.25,52.25,52.48,-0.32,1.57,52.5,-2.62,23.95,2.09,24.18,0.34,2231,3051.02,2777.68,0,3,0
4.65,-2.36,52.22,52.46,-0.23,1.64,52.48,-11.96,16.27,-3.31,20.46,0.36,2175.01,2952.94,2693.63,0,3,0
4.72,-2.47,52.2,52.44,-0.16,1.76,52.47,-6.79,13.77,-1.91,15.47,0.38,2079.73,2879.9,2613.17,0,3,0
4.74,-2.51,52.23,52.47,-0.14,1.79,52.5,-4.57,11.99,0.04,12.83,0.36,2107.44,2968.65,2681.58,0,3,0
4.73,-2.67,52.3,52.54,0.01,1.86,52.58,-10.31,9.22,-3.7,14.32,0.33,2228.23,3126.66,2827.18,0,3,0
4.67,-2.75,52.22,52.47,0.1,1.85,52.5,-11.98,11.81,-7.61,18.47,0.34,2234.15,3121.77,2825.9,0,3,0
4.7,-2.75,52.26,52.51,0.09,1.87,52.54,-12.61,8.54,4.51,15.88,0.35,2161.79,3027.4,2738.86,0,3,0
4.66,-2.71,52.23,52.48,0.07,1.82,52.51,-12.74,13.4,6.12,19.48,0.37,2037.2,2867.5,2590.73,0,3,0
4.7,-2.71,52.28,52.53,0.05,1.85,52.56,-10.92,18.48,10.1,23.72,0.37,2084.45,2883.55,2617.18,0,3,0
4.73,-2.68,52.26,52.51,0.02,1.87,52.54,-20.22,21.52,7.3,30.42,0.36,2122.14,2906.01,2644.72,0,3,0
9.12,-0.34,50.08,50.9,0.33,-0.39,50.91,-31.28,-24.83,-3.2,40.07,0.27,1461.55,1978.71,1806.32,0,4,0
9.08,-0.17,50.07,50.88,0.16,-0.42,50.89,-29.87,-8.06,-1.83,31,0.24,1734.54,2428.08,2196.9,0,4,0
9.08,0,49.92,50.74,-0.01,-0.39,50.74,-24.97,-0.66,-3.29,25.2,0.23,1804.45,2547.94,2300.11,0,4,0
9.05,0.08,49.92,50.74,-0.09,-0.42,50.74,-14.54,-9.51,-8.46,19.33,0.24,1659.15,2296.27,2083.9,0,4,0
8.92,0.06,50,50.79,-0.06,-0.57,50.79,-5.54,-18.85,-10.37,22.22,0.21,1931,2652.71,2412.14,0,4,0
9,-0.43,49.87,50.67,0.42,-0.47,50.68,1.17,-10.86,-8.11,13.6,0.24,1629.19,2219.19,2022.52,0,4,0
8.85,-0.24,49.86,50.63,0.23,-0.61,50.64,-7.64,-9.44,-4.62,12.99,0.24,1635.46,2176.52,1996.17,0,4,0
8.8,-0.66,49.82,50.59,0.65,-0.65,50.6,-11.21,-9.96,-4.93,15.78,0.22,1805.95,2457.25,2240.15,0,4,0
8.69,-0.98,49.76,50.5,0.97,-0.75,50.52,-3.87,-10.31,-8.87,14.14,0.22,1766.18,2507.41,2260.33,0,4,0
8.7,-1.02,49.66,50.41,1.02,-0.72,50.43,-12.28,-26.46,-9.52,30.69,0.21,1795.43,2461.59,2239.54,0,4,0
8.61,-1.47,49.71,50.44,1.46,-0.82,50.47,-7.07,-25.78,-3.41,26.94,0.22,1830.16,2473.58,2259.1,0,4,0
8.47,-1.88,49.64,50.35,1.88,-0.94,50.39,-1.43,-30.26,-6.93,31.07,0.22,1725.25,2456.65,2212.85,0,4,0
8.51,-2.01,49.7,50.41,2.01,-0.91,50.46,-4.36,-32.7,-12.8,35.39,0.22,1884.64,2559.25,2334.38,0,4,0
8.58,-2.29,49.76,50.49,2.28,-0.86,50.54,-6.46,-35.11,-15.51,38.93,0.22,1886.2,2430.24,2248.89,0,4,0
8.42,-2.7,49.78,50.47,2.7,-1.02,50.56,-2.02,-33.95,-15.11,37.22,0.23,1658.23,2176.66,2003.85,0,4,0
8.58,-2.62,49.71,50.44,2.62,-0.85,50.51,-3.2,-16.4,-13.82,21.68,0.21,1952.67,2517.88,2329.48,0,4,0
8.27,-2.81,49.98,50.65,2.81,-1.2,50.74,-13.1,-11.62,-13.07,21.85,0.23,1691.51,2255.62,2067.59,0,4,0
8.42,-2.64,50.02,50.71,2.64,-1.06,50.79,3.43,-1.15,-18.13,18.49,0.22,1861.22,2435.76,2244.24,0,4,0
8.23,-2.72,50,50.65,2.72,-1.25,50.74,3.33,10.53,-20.15,22.98,0.2,1952.88,2679.17,2437.07,0,4,0
8.24,-2.76,49.94,50.6,2.75,-1.22,50.69,-5.79,11.19,-15.89,20.28,0.2,1872.22,2682.37,2412.32,0,4,0
8.39,-2.83,49.96,50.65,2.83,-1.08,50.74,-0.6,7.88,-13.97,16.05,0.21,1848.55,2576.2,2333.65,0,4,4
8.35,-2.7,50,50.68,2.7,-1.12,50.77,2.34,23.13,-24.29,33.62,0.21,1855.8,2620.44,2365.56,0,4,4
8.29,-3.06,50.05,50.72,3.06,-1.19,50.82,-8.8,11.59,-24.07,28.12,0.23,1674.29,2400.42,2158.37,0,4,4
8.35,-2.84,49.96,50.64,2.84,-1.12,50.73,-8.91,16.76,-19.53,27.23,0.22,1799.9,2485.65,2257.06,0,4,4
8.29,-3.19,50.2,50.87,3.19,-1.22,50.98,-11.63,6.96,-11.65,17.87,0.21,1976.98,2597.49,2390.65,0,4,4
8.3,-3.16,50.3,50.97,3.16,-1.23,51.08,-16.25,4.12,-18.15,24.7,0.21,1943.7,2526.82,2332.45,0,4,4
8.37,-3.16,50.48,51.16,3.16,-1.2,51.27,-12.26,20.09,-30.62,38.62,0.21,1826.93,2463.68,2251.43,0,4,4
8.3,-2.98,50.46,51.12,2.98,-1.26,51.22,-1.28,3.25,-6.56,7.43,0.2,2000.55,2734.94,2490.14,0,4,4
8.25,-2.92,50.63,51.28,2.92,-1.34,51.38,3.02,25.2,-16.96,30.52,0.19,2074.96,2773.67,2540.77,0,4,4
8.22,-2.62,50.79,51.44,2.62,-1.4,51.52,6.45,7.32,-11.66,15.2,0.19,2054.7,2758.51,2523.91,0,4,4
8.19,-2.62,50.8,51.44,2.62,-1.44,51.53,-2.3,1.27,-5.98,6.53,0.21,1939.65,2525.58,2330.27,0,4,4
8.04,-2.27,50.93,51.53,2.27,-1.61,51.61,-7.77,20.2,-11.79,24.65,0.23,1740.22,2215.98,2057.39,0,4,4
8.06,-1.78,50.98,51.59,1.78,-1.6,51.65,-0.24,33.95,-19.82,39.31,0.24,1621.17,2157.69,1978.85,0,4,4
7.92,-1.56,50.94,51.52,1.56,-1.73,51.58,-5.49,29.8,-14.62,33.64,0.22,1844.41,2439.27,2240.98,0,4,4
7.93,-1.2,51.06,51.64,1.2,-1.74,51.68,0.37,15.01,-3.85,15.5,0.2,1968.82,2714.94,2466.24,0,4,4
7.96,-0.73,51.24,51.83,0.73,-1.74,51.86,-17.51,15.53,-12.67,26.62,0.2,1938.75,2609.7,2386.05,0,4,4
7.98,-0.63,51.14,51.73,0.63,-1.7,51.76,-27.24,19.8,-21.33,39.86,0.21,1853.89,2414.92,2227.91,0,4,4
7.98,-0.39,51.13,51.72,0.39,-1.7,51.75,-12.31,17.05,-16.15,26.52,0.22,1744.04,2291.15,2108.78,0,4,4
8.17,-0.35,51.33,51.95,0.36,-1.56,51.97,5.61,12.21,-6.5,14.92,0.24,1638.08,2172.96,1994.67,0,4,4
8.24,-0.25,51.24,51.88,0.26,-1.46,51.9,-3.83,17.32,-10.79,20.76,0.24,1665.93,2059.06,1928.02,0,4,4
8.35,-0.2,51.38,52.04,0.2,-1.39,52.06,-1.96,19.23,-17.03,25.76,0.22,1710.97,2177.97,2022.3,0,4,4
8.55,-0.2,51.38,52.07,0.2,-1.19,52.08,-4.05,20,-12.57,23.97,0.24,1616.4,2150.6,1972.53,0,4,4
8.51,-0.29,51.44,52.12,0.29,-1.24,52.14,-7.07,24.18,-15.38,29.52,0.25,1544.74,2044.38,1877.83,0,4,4
8.55,-0.63,51.42,52.11,0.64,-1.2,52.13,-11.98,24.91,-19.11,33.61,0.24,1524.93,1986.99,1832.97,0,4,4
8.6,-0.86,51.41,52.11,0.86,-1.15,52.13,-19.72,18.25,-10.47,28.84,0.25,1568,2075.95,1906.63,0,4,4
8.59,-1.02,51.56,52.26,1.03,-1.19,52.28,-19.2,19.19,-7.45,28.15,0.21,1865.04,2387.24,2213.18,0,4,4
8.43,-0.83,51.56,52.23,0.84,-1.34,52.25,-2.57,23.12,-6.3,24.1,0.2,1877.03,2521.37,2306.59,0,4,4
8.36,-0.61,51.7,52.35,0.61,-1.44,52.37,-1.17,21.49,-12.83,25.05,0.2,1936.94,2533.24,2334.48,0,4,4
8.43,-0.03,51.76,52.42,0.03,-1.38,52.44,6.04,24.69,-10.45,27.48,0.21,1878.95,2377.08,2211.04,0,4,4
8.39,0.57,51.58,52.24,-0.56,-1.38,52.26,10.74,25.83,-4.43,28.33,0.23,1724.94,2190.82,2035.52,0,4,4
8.26,1.06,51.39,52.03,-1.05,-1.47,52.06,-4.02,17.15,-8.12,19.39,0.24,1728.37,2218.84,2055.35,0,4,4
8.32,1.48,51.47,52.12,-1.47,-1.43,52.16,-5.67,20.44,-7.17,22.39,0.21,1944.62,2473.08,2296.92,0,4,4
8.05,1.74,51.36,51.96,-1.73,-1.68,52.02,-6.97,24.16,-2.34,25.26,0.23,1759.66,2173.33,2035.44,0,4,4
8.08,1.44,51.39,52,-1.43,-1.66,52.04,3.27,11.09,5.79,12.93,0.22,1886.72,2401.46,2229.88,0,4,4
7.95,1.31,51.41,51.99,-1.3,-1.79,52.04,7.28,-4.92,2.76,9.2,0.2,2061.95,2732.85,2509.22,0,4,4
7.91,1.09,51.41,51.98,-1.08,-1.83,52.02,6.86,-14.85,-2.84,16.6,0.2,2034.03,2729.94,2497.97,0,4,4
8.19,1.44,51.3,51.93,-1.43,-1.53,51.97,10.67,-20.18,1.75,22.9,0.22,1974.81,2597.73,2390.09,0,4,4
8.2,2.06,51.25,51.88,-2.05,-1.51,51.94,-3.38,-18,-4.88,18.95,0.2,2155.53,2770.24,2565.34,0,4,4
8.15,2.55,51.16,51.78,-2.55,-1.55,51.87,-4.77,-24.62,-3.59,25.34,0.21,1928.08,2646.31,2406.9,0,4,4
8.02,2.73,51.07,51.67,-2.73,-1.65,51.77,-0.24,-5.37,8.55,10.1,0.21,1928.42,2645.56,2406.51,0,4,4
7.76,2.74,50.91,51.46,-2.74,-1.88,51.57,0.36,18.16,10.38,20.92,0.24,1738.11,2358.43,2151.66,0,4,4
7.8,2.42,50.87,51.43,-2.41,-1.83,51.52,1.22,23.04,1.52,23.12,0.26,1382.62,1894,1723.54,0,4,4
7.63,1.97,50.9,51.43,-1.96,-2.01,51.5,8.33,21.97,-1.4,23.54,0.42,1129.58,1514.66,1386.3,0,4,4
7.66,1.64,50.83,51.36,-1.63,-1.96,51.43,6.45,51.97,-1.54,52.39,1.22,356.49,489.84,445.39,0,4,4
7.72,1.97,50.81,51.35,-1.97,-1.9,51.43,4.04,43.44,5.64,43.99,0.67,674.69,887.59,816.63,0,4,4
7.31,2.43,50.7,51.17,-2.42,-2.28,51.28,-0.68,51.44,-1.4,51.47,1.11,488.62,640.09,589.6,0,4,4
8.37,1.82,50.5,51.17,-1.81,-1.2,51.22,0.46,68.98,-11.14,69.87,1.63,234.48,314.75,288,0,4,4
8.13,1.02,50.52,51.15,-1.01,-1.44,51.18,5.15,70.25,-8.4,70.94,1.44,313.41,424.65,387.57,0,4,4
7.88,0.58,50.55,51.13,-0.57,-1.7,51.16,2.34,54.35,-0.53,54.4,1.14,377.65,506.99,463.88,0,4,4
7.98,0.03,50.43,51.03,-0.02,-1.58,51.05,-6.26,52.02,-16.29,54.87,1.08,389.72,517.02,474.59,0,4,4
8.05,-0.75,50.17,50.8,0.76,-1.46,50.82,7.85,39.07,-8.54,40.75,0.52,1013.71,1418.38,1283.49,0,4,4
8.25,-0.71,50.16,50.82,0.72,-1.26,50.84,9.49,26.58,-3.32,28.42,0.26,1497.29,2187.86,1957.67,0,4,4
8.32,-1.03,50.29,50.96,1.04,-1.22,50.98,1.57,7.99,2.56,8.53,0.23,1865.35,2727.23,2439.94,0,4,4
8.63,-1.08,50.24,50.97,1.1,-0.9,50.99,-2.76,-5.48,13.98,15.27,0.2,2176.96,3057.28,2763.84,0,4,4
8.87,-0.94,50.18,50.96,0.95,-0.66,50.97,-3.56,-0.12,20.01,20.32,0.21,2168.46,2941.4,2683.75,0,4,4
9.14,-0.88,49.99,50.81,0.89,-0.35,50.82,-11.27,-11.16,5.81,16.89,0.26,1690.51,2386.98,2154.82,0,4,4
9.18,-0.82,50.09,50.92,0.84,-0.34,50.93,-1.49,8.85,2.01,9.19,0.26,1761.25,2401.04,2187.77,0,4,4
9.17,-0.71,50.17,51,0.72,-0.36,51.01,13.74,4.58,15.75,21.4,0.23,1923.72,2656.71,2412.38,0,4,4
9.12,-0.61,50.24,51.06,0.62,-0.43,51.06,8.72,-8.25,22.89,25.84,0.24,1810.4,2544.33,2299.68,0,4,4
9.28,-0.32,50.4,51.24,0.34,-0.29,51.25,-8.91,-9.11,12.71,18,0.26,1677.02,2256.96,2063.64,0,4,4
9.21,-0.06,50.53,51.36,0.08,-0.39,51.36,-7.85,-7.78,3.37,11.55,0.25,1897.5,2430.89,2253.09,0,4,4
9.11,0.06,50.68,51.49,-0.05,-0.51,51.49,3.58,-8.95,12.78,16,0.24,1854.15,2582.05,2339.42,0,4,4
9.11,0.29,50.87,51.68,-0.28,-0.55,51.68,6.5,-1.77,8.92,11.17,0.23,2011.35,2763.28,2512.64,0,4,4
8.92,0.22,51.02,51.79,-0.21,-0.76,51.8,6.23,-4.53,14.2,16.16,0.21,2086.96,2785.74,2552.81,0,4,4
8.88,-0.08,51.03,51.79,0.09,-0.81,51.8,1.52,-12.19,10.32,16.04,0.21,2011.5,2704.39,2473.43,0,4,4
9.11,-0.33,51.05,51.86,0.34,-0.58,51.86,-0.41,-10.44,3.3,10.96,0.24,1846.65,2587.68,2340.67,0,4,4
9.16,-0.21,51.09,51.9,0.23,-0.54,51.91,8.33,-0.75,18.69,20.47,0.24,1727.37,2470.23,2222.61,0,4,4
9.34,-0.19,51.04,51.88,0.21,-0.35,51.89,3,-13.39,6.25,15.08,0.22,1949.93,2590.54,2377,0,4,4
9.37,-0.34,51.26,52.11,0.36,-0.37,52.11,3.89,-4.58,3.26,6.84,0.22,1953.68,2628.03,2403.24,0,4,4
9.49,-0.4,51.3,52.17,0.41,-0.26,52.17,10.37,1.69,8.11,13.27,0.22,2010.89,2719.43,2483.25,0,4,4
9.62,-0.1,51.32,52.21,0.12,-0.13,52.22,7.67,11.53,8.48,16.24,0.22,1972.24,2703.07,2459.46,0,4,4
10.03,-0.18,51.36,52.33,0.2,0.26,52.33,-2.27,13.38,9.07,16.33,0.21,1887.15,2686,2419.72,0,4,4
10.07,-0.08,51.4,52.38,0.1,0.29,52.38,-1.26,-9.41,20.62,22.7,0.2,2053.79,2942.44,2646.22,0,4,4
10.12,-0.22,51.33,52.31,0.23,0.36,52.32,2.3,22.58,8.32,24.17,0.21,2038.03,2844.86,2575.92,0,4,4
10.26,0,51.37,52.38,0.02,0.49,52.38,1.72,14.11,2.87,14.5,0.2,1979.19,2852.37,2561.31,0,4,4
10.39,0.01,51.37,52.4,0.01,0.61,52.41,2.36,2.36,8.62,9.24,0.24,1743.66,2440.71,2208.36,0,4,4
10.51,-0.11,51.14,52.21,0.13,0.78,52.21,-11.52,4.61,5.65,13.63,0.25,1717.9,2295.04,2102.66,0,4,4
10.62,0.21,51.35,52.43,-0.18,0.84,52.43,-22.26,13.91,-5.58,26.83,0.22,1890.61,2574,2346.2,0,4,4
10.57,0.22,51.26,52.33,-0.2,0.81,52.33,6.73,17.22,-0.79,18.51,0.23,1787.27,2474.27,2245.27,0,4,4
10.58,0.4,51.39,52.46,-0.38,0.8,52.47,9.45,0.86,3.94,10.27,0.21,1976.94,2672.35,2440.55,0,4,4
10.42,0.79,51.4,52.44,-0.77,0.64,52.45,-3.04,7.33,-3.44,8.64,0.21,1878.24,2556.77,2330.59,0,4,4
10.49,1.45,51.43,52.48,-1.43,0.71,52.51,-6.11,28.57,-3.23,29.39,0.23,1809.88,2423.7,2219.09,0,4,4
10.37,1.67,51.56,52.59,-1.65,0.57,52.62,-4.64,31.14,-4.11,31.75,0.23,1879.91,2446.01,2257.31,0,4,4
10.32,1.86,51.42,52.45,-1.84,0.54,52.48,-2.88,17.65,-11.2,21.1,0.21,1960.98,2526.3,2337.86,0,4,4
10.46,1.86,51.5,52.55,-1.84,0.66,52.59,7.67,26.41,-9.34,29.05,0.21,1920.5,2486.22,2297.65,0,4,4
10.67,2.06,51.36,52.45,-2.03,0.9,52.5,1.66,27.38,-6.55,28.2,0.23,1785.71,2397.15,2193.34,0,4,4
10.54,1.68,51.46,52.52,-1.65,0.75,52.56,6.34,15.26,-6.88,17.9,0.22,1794.29,2416.46,2209.07,0,4,4
10.17,1.62,51.61,52.6,-1.6,0.36,52.63,-13.33,22.18,-4.88,26.33,0.27,1580.84,2098.7,1926.08,0,4,4
10.27,1.82,51.48,52.49,-1.79,0.48,52.52,-27.47,34.07,-9.32,44.75,0.3,1462.66,1904.64,1757.31,0,4,4
10.47,2,51.54,52.59,-1.97,0.67,52.63,-16.07,30.29,-16.68,38.14,0.28,1538.33,1968.15,1824.87,0,4,4
10.47,2.33,51.49,52.54,-2.3,0.68,52.59,-15.89,23.51,-8.62,29.66,0.32,1312.87,1641.07,1531.67,0,4,4
10.62,2.24,51.73,52.81,-2.21,0.78,52.86,-16.58,30.93,-13.19,37.49,0.31,1303.85,1720.64,1581.71,0,4,4
10.98,2.18,51.68,52.83,-2.16,1.14,52.88,-9.37,33.32,-12.72,36.88,0.32,1277.22,1671.06,1539.78,0,4,4
11.38,1.97,51.71,52.93,-1.94,1.53,52.99,-8.01,31.99,-9.26,34.25,0.32,1286.04,1654.32,1531.56,0,4,4
11.45,1.62,51.78,53.01,-1.59,1.58,53.06,-13.37,29.26,-11.67,34.22,0.33,1278.77,1649.91,1526.2,0,4,4
11.73,1.39,51.74,53.03,-1.36,1.86,53.08,-15.54,23.48,-15.69,32.24,0.32,1322.51,1689.41,1567.11,0,4,0
11.84,1.22,51.72,53.03,-1.19,1.97,53.08,-7.54,13.65,-6.3,16.82,0.25,1598.62,1984.49,1855.87,0,4,0
12.1,1.08,51.58,52.94,-1.05,2.26,53,7.49,13.48,-6.35,16.68,0.25,1610.13,2187.52,1995.06,0,4,0
12.27,0.8,51.63,53.02,-0.77,2.41,53.08,5.33,22.48,-5.13,23.67,0.22,1910.98,2542.21,2331.8,0,4,0
12.65,0.93,51.52,52.97,-0.9,2.81,53.05,-3.19,12.93,-7.48,15.28,0.2,1938.99,2555.03,2349.68,0,4,0
12.2,1.3,51.72,53.09,-1.27,2.33,53.15,-8.88,1.27,-7.42,11.64,0.21,1849.46,2488.62,2275.57,0,4,0
12.05,1.77,51.67,53.01,-1.74,2.19,53.09,-8.58,6.25,-1.09,10.67,0.21,1916.12,2588.04,2364.07,0,4,0
12.29,1.81,51.5,52.89,-1.77,2.46,52.98,-2.76,9.96,2.07,10.54,0.22,1795.34,2389.78,2191.63,0,4,0
12.33,2.5,51.47,52.87,-2.47,2.5,52.99,-6.99,21.68,3.39,23.03,0.25,1488.22,2058.56,1868.45,0,4,0
12.59,2.56,51.43,52.88,-2.52,2.77,53.01,-1.96,32.36,-4.26,32.7,0.28,1340.24,1788.09,1638.8,0,4,0
12.57,2.25,51.3,52.74,-2.22,2.77,52.86,-7.11,33.46,-7.52,35.02,0.28,1431.8,1818.99,1689.93,0,4,0
